Date,Price,Open,High,Low,Change %
2013-03-01,0.98,0.97,0.99,0.95,2.08%
2013-02-01,0.96,0.93,0.96,0.93,3.23%
2013-01-01,0.93,0.93,0.95,0.91,1.09%
2012-12-01,0.92,0.96,0.98,0.92,-4.17%
2012-11-01,0.96,1,1.01,0.95,-3.03%
2012-10-01,0.99,0.97,1.01,0.95,1.02%
2012-09-01,0.98,1.03,1.05,0.97,-4.85%
2012-08-01,1.03,0.98,1.05,0.91,5.10%
2012-07-01,0.98,0.876,0.98,0.85,11.36%
2012-06-01,0.88,0.95,0.95,0.867,-6.38%
2012-05-01,0.94,1.07,1.07,0.94,-11.32%
2012-04-01,1.06,0.92,1.08,0.92,15.22%
2012-03-01,0.92,0.95,0.95,0.9,-2.13%
2012-02-01,0.94,0.88,0.95,0.88,6.82%
2012-01-01,0.88,0.82,0.88,0.78,7.32%
2011-12-01,0.82,0.87,0.88,0.82,-5.75%
2011-11-01,0.87,0.9,0.91,0.86,-2.25%
2011-10-01,0.89,0.81,0.92,0.81,9.88%
2011-09-01,0.81,0.96,0.96,0.78,-14.74%
2011-08-01,0.95,0.92,0.95,0.78,3.26%
2011-07-01,0.92,0.93,0.95,0.92,-1.08%
2011-06-01,0.93,0.97,0.97,0.88,-3.12%
2011-05-01,0.96,0.98,1,0.93,-2.04%
2011-04-01,0.98,0.95,1,0.93,4.26%
2011-03-01,0.94,0.97,0.98,0.9,-2.08%
2011-02-01,0.96,0.97,0.98,0.95,0.00%
2011-01-01,0.96,0.99,1,0.96,-3.03%
2010-12-01,0.99,1.02,1.02,0.98,-1.98%
2010-11-01,1.01,0.92,1.02,0.92,9.78%
2010-10-01,0.92,0.89,0.93,0.86,4.55%
2010-09-01,0.88,0.7,0.95,0.7,23.94%
2010-08-01,0.71,0.19,0.71,0.19,7.58%
2010-07-01,0.66,0.51,0.67,0,29.41%
2010-06-01,0.51,0.51,0.59,0.19,2.00%
2010-05-01,0.5,0.4,0.51,0.19,25.00%
2010-04-01,0.4,0.29,0.42,0.25,37.93%
2010-03-01,0.29,0.18,0.3,0,70.59%
2010-02-01,0.17,0.17,0.18,0.15,0.00%
2010-01-01,0.17,0.2,0.21,0.16,-10.53%
2009-12-01,0.19,0.21,0.23,0.17,-9.52%
2009-11-01,0.21,0.22,0.24,0.19,-8.70%
2009-10-01,0.23,0.22,0.25,0.2,0.00%
2009-09-01,0.23,0.21,0.24,0.2,9.52%
2009-08-01,0.21,0.25,0.27,0.2,-16.00%
2009-07-01,0.25,0.23,0.25,0.21,0.00%
2009-06-01,0.25,0.21,0.26,0.21,19.05%
2009-05-01,0.21,0.21,0.22,0.17,0.00%
2009-04-01,0.21,0.41,0.43,0.2,-46.15%
2009-03-01,0.39,0.59,0.59,0.38,-36.07%
2009-02-01,0.61,0.88,0.89,0.6,-29.89%
2009-01-01,0.87,0.89,0.93,0.69,-1.14%
2008-12-01,0.88,1.75,1.75,0.84,-49.71%
2008-11-01,1.75,1.85,1.93,1.7,-5.41%
2008-10-01,1.85,1.9,2.2,1.8,-2.63%
2008-09-01,1.9,2.42,2.49,1.75,-21.16%
2008-08-01,2.41,2.4,2.55,2.4,0.42%
2008-07-01,2.4,2.49,2.51,2.23,-4.00%
2008-06-01,2.5,2.64,2.78,2.5,-5.66%
2008-05-01,2.65,2.7,2.73,2.58,-1.49%
2008-04-01,2.69,1.88,2.78,1.87,43.09%
2008-03-01,1.88,3.08,3.11,1.74,-38.96%
2008-02-01,3.08,3.39,3.39,3.05,-8.61%
2008-01-01,3.37,3.84,3.87,3.37,-12.01%
2007-12-01,3.83,3.94,3.95,3.79,-1.54%
2007-11-01,3.89,4,4.03,3.89,-1.77%
2007-10-01,3.96,3.98,4.03,3.86,-0.25%
2007-09-01,3.97,4.02,4.1,3.88,2.32%
2007-08-01,3.88,4.56,4.62,3.8,-14.73%
2007-07-01,4.55,4.55,4.55,4.55,2.71%
2007-06-01,4.43,4.43,4.43,4.43,3.50%
2007-05-01,4.28,4.28,4.28,4.28,2.88%
2007-04-01,4.16,4.16,4.16,4.16,-0.24%
2007-03-01,4.17,4.17,4.17,4.17,-0.48%
2007-02-01,4.19,4.19,4.19,4.19,0.72%
2007-01-01,4.16,4.16,4.16,4.16,0.24%
2006-12-01,4.15,4.15,4.15,4.15,-0.48%
2006-11-01,4.17,4.17,4.17,4.17,0.24%
2006-10-01,4.16,4.16,4.16,4.16,0.24%
2006-09-01,4.15,4.15,4.15,4.15,0.73%
2006-08-01,4.12,4.12,4.12,4.12,-0.72%
2006-07-01,4.15,4.15,4.15,4.15,-3.26%
2006-06-01,4.29,4.29,4.29,4.29,2.88%
2006-05-01,4.17,4.17,4.17,4.17,3.47%
2006-04-01,4.03,4.03,4.03,4.03,4.68%
2006-03-01,3.85,3.85,3.85,3.85,2.94%
2006-02-01,3.74,3.74,3.74,3.74,6.55%
2006-01-01,3.51,3.51,3.51,3.51,4.15%
2005-12-01,3.37,3.37,3.37,3.37,2.12%
2005-11-01,3.3,3.3,3.3,3.3,7.84%
2005-10-01,3.06,3.06,3.06,3.06,6.25%
2005-09-01,2.88,2.88,2.88,2.88,5.88%
2005-08-01,2.72,2.72,2.72,2.72,5.02%
2005-07-01,2.59,2.59,2.59,2.59,4.86%
2005-06-01,2.47,2.47,2.47,2.47,1.23%
2005-05-01,2.44,2.44,2.44,2.44,0.00%
2005-04-01,2.44,2.44,2.44,2.44,-3.94%
2005-03-01,2.54,2.54,2.54,2.54,3.67%
2005-02-01,2.45,2.45,2.45,2.45,0.82%
2005-01-01,2.43,2.43,2.43,2.43,-0.82%
2004-12-01,2.45,2.45,2.45,2.45,-3.92%
2004-11-01,2.55,2.55,2.55,2.55,-0.78%
2004-10-01,2.57,2.57,2.57,2.57,5.76%
2004-09-01,2.43,2.43,2.43,2.43,12.50%
2004-08-01,2.16,2.16,2.16,2.16,4.35%
2004-07-01,2.07,2.07,2.07,2.07,2.48%
2004-06-01,2.02,2.02,2.02,2.02,1.00%
2004-05-01,2,2,2,2,3.63%
2004-04-01,1.93,1.93,1.93,1.93,-2.03%
2004-03-01,1.97,1.97,1.97,1.97,-6.64%
2004-02-01,2.11,2.11,2.11,2.11,-6.64%
2004-01-01,2.26,2.26,2.26,2.26,-12.40%
2003-12-01,2.58,2.58,2.58,2.58,-3.01%
2003-11-01,2.66,2.66,2.66,2.66,0.38%
2003-10-01,2.65,2.65,2.65,2.65,2.32%
2003-09-01,2.59,2.59,2.59,2.59,-3.72%
2003-08-01,2.69,2.69,2.69,2.69,-5.94%
2003-07-01,2.86,2.86,2.86,2.86,-7.14%
2003-06-01,3.08,3.08,3.08,3.08,-2.53%
2003-05-01,3.16,3.16,3.16,3.16,-1.25%
2003-04-01,3.2,3.2,3.2,3.2,1.59%
2003-03-01,3.15,3.15,3.15,3.15,7.88%
2003-02-01,2.92,2.92,2.92,2.92,3.55%
2003-01-01,2.82,2.82,2.82,2.82,6.02%
2002-12-01,2.66,2.66,2.66,2.66,-2.21%
2002-11-01,2.72,2.72,2.72,2.72,-0.73%
2002-10-01,2.74,2.74,2.74,2.74,-0.72%
2002-09-01,2.76,2.76,2.76,2.76,-6.76%
2002-08-01,2.96,2.96,2.96,2.96,4.96%
2002-07-01,2.82,2.82,2.82,2.82,3.68%
2002-06-01,2.72,2.72,2.72,2.72,4.21%
2002-05-01,2.61,2.61,2.61,2.61,7.85%
2002-04-01,2.42,2.42,2.42,2.42,6.14%
2002-03-01,2.28,2.28,2.28,2.28,10.14%
2002-02-01,2.07,2.07,2.07,2.07,4.55%
2002-01-01,1.98,1.98,1.98,1.98,3.13%
2001-12-01,1.92,1.92,1.92,1.92,-6.80%
2001-11-01,2.06,2.06,2.06,2.06,-12.34%
2001-10-01,2.35,2.35,2.35,2.35,-23.45%
2001-09-01,3.07,3.07,3.07,3.07,-19.21%
2001-08-01,3.8,3.8,3.8,3.8,-5.71%
2001-07-01,4.03,4.03,4.03,4.03,-7.14%
2001-06-01,4.34,4.34,4.34,4.34,0.23%
2001-05-01,4.33,4.33,4.33,4.33,-2.48%
2001-04-01,4.44,4.44,4.44,4.44,-3.90%
2001-03-01,4.62,4.62,4.62,4.62,-5.33%
2001-02-01,4.88,4.88,4.88,4.88,-4.69%
2001-01-01,5.12,5.12,5.12,5.12,-6.91%
2000-12-01,5.5,5.5,5.5,5.5,-1.61%
2000-11-01,5.59,5.59,5.59,5.59,-0.71%
2000-10-01,5.63,5.63,5.63,5.63,1.08%
2000-09-01,5.57,5.57,5.57,5.57,-0.54%
2000-08-01,5.6,5.6,5.6,5.6,-0.53%
2000-07-01,5.63,5.63,5.63,5.63,1.62%
2000-06-01,5.54,5.54,5.54,5.54,-2.46%
2000-05-01,5.68,5.68,5.68,5.68,3.46%
2000-04-01,5.49,5.49,5.49,5.49,3.78%
2000-03-01,5.29,5.29,5.29,5.29,5.80%
2000-02-01,5,5,5,5,-2.53%
2000-01-01,5.13,5.13,5.13,5.13,5.99%
1999-12-01,4.84,4.84,4.84,4.84,2.76%
1999-11-01,4.71,4.71,4.71,4.71,-1.46%
1999-10-01,4.78,4.78,4.78,4.78,3.24%
1999-09-01,4.63,4.63,4.63,4.63,-4.34%
1999-08-01,4.84,4.84,4.84,4.84,2.33%
1999-07-01,4.73,4.73,4.73,4.73,3.50%
1999-06-01,4.57,4.57,4.57,4.57,1.11%
1999-05-01,4.52,4.52,4.52,4.52,-0.22%
1999-04-01,4.53,4.53,4.53,4.53,-2.37%
1999-03-01,4.64,4.64,4.64,4.64,-6.07%
1999-02-01,4.94,4.94,4.94,4.94,5.56%
1999-01-01,4.68,4.68,4.68,4.68,0.86%
1998-12-01,4.64,4.64,4.64,4.64,-2.11%
1998-11-01,4.74,4.74,4.74,4.74,-0.63%
1998-10-01,4.77,4.77,4.77,4.77,-3.25%
1998-09-01,4.93,4.93,4.93,4.93,-12.74%
1998-08-01,5.65,5.65,5.65,5.65,13.45%
1998-07-01,4.98,4.98,4.98,4.98,3.75%
1998-06-01,4.8,4.8,4.8,4.8,1.27%
1998-05-01,4.74,4.74,4.74,4.74,-1.46%
1998-04-01,4.81,4.81,4.81,4.81,5.25%
1998-03-01,4.57,4.57,4.57,4.57,-1.51%
1998-02-01,4.64,4.64,4.64,4.64,3.11%
1998-01-01,4.5,4.5,4.5,4.5,12.50%
1997-12-01,4,4,4,4,6.95%
1997-11-01,3.74,3.74,3.74,3.74,1.63%
1997-10-01,3.68,3.68,3.68,3.68,19.09%
1997-09-01,3.09,3.09,3.09,3.09,-0.64%
1997-08-01,3.11,3.11,3.11,3.11,-4.89%
1997-07-01,3.27,3.27,3.27,3.27,1.55%
1997-06-01,3.22,3.22,3.22,3.22,8.05%
1997-05-01,2.98,2.98,2.98,2.98,-5.70%
1997-04-01,3.16,3.16,3.16,3.16,-2.47%
1997-03-01,3.24,3.24,3.24,3.24,11.34%
1997-02-01,2.91,2.91,2.91,2.91,1.75%
1997-01-01,2.86,2.86,2.86,2.86,-2.05%
1996-12-01,2.92,2.92,2.92,2.92,6.57%
1996-11-01,2.74,2.74,2.74,2.74,-11.61%
1996-10-01,3.1,3.1,3.1,3.1,-19.90%
1996-09-01,3.87,3.87,3.87,3.87,-4.44%
1996-08-01,4.05,4.05,4.05,4.05,-7.74%
1996-07-01,4.39,4.39,4.39,4.39,-6.40%
1996-06-01,4.69,4.69,4.69,4.69,0.21%
1996-05-01,4.68,4.68,4.68,4.68,-1.06%
1996-04-01,4.73,4.73,4.73,4.73,-5.96%
1996-03-01,5.03,5.03,5.03,5.03,-2.52%
1996-02-01,5.16,5.16,5.16,5.16,0.58%
1996-01-01,5.13,5.13,5.13,5.13,-7.57%
1995-12-01,5.55,5.55,5.55,5.55,-4.97%
1995-11-01,5.84,5.84,5.84,5.84,-1.68%
1995-10-01,5.94,5.94,5.94,5.94,-8.47%
1995-09-01,6.49,6.49,6.49,6.49,2.37%
1995-08-01,6.34,6.34,6.34,6.34,-6.07%
1995-07-01,6.75,6.75,6.75,6.75,-1.17%
1995-06-01,6.83,6.83,6.83,6.83,-7.70%
1995-05-01,7.4,7.4,7.4,7.4,-5.85%
1995-04-01,7.86,7.86,7.86,7.86,-5.64%
1995-03-01,8.33,8.33,8.33,8.33,8.18%
1995-02-01,7.7,7.7,7.7,7.7,-3.75%
1995-01-01,8,8,8,8,17.65%
1994-12-01,6.8,6.8,6.8,6.8,15.25%
1994-11-01,5.9,5.9,5.9,5.9,9.26%
1994-10-01,5.4,5.4,5.4,5.4,3.85%
1994-09-01,5.2,5.2,5.2,5.2,-5.28%
1994-08-01,5.49,5.49,5.49,5.49,-2.49%
1994-07-01,5.63,5.63,5.63,5.63,-10.63%
1994-06-01,6.3,6.3,6.3,6.3,-0.47%
1994-05-01,6.33,6.33,6.33,6.33,5.50%
1994-04-01,6,6,6,6,5.26%
1994-03-01,5.7,5.7,5.7,5.7,-25.49%
1992-12-01,7.65,7.65,7.65,7.65,-6.36%
1992-11-01,8.17,8.17,8.17,8.17,33.50%
1992-10-01,6.12,6.12,6.12,6.12,-23.40%
1992-09-01,7.99,7.99,7.99,7.99,64.74%
1992-08-01,4.85,4.85,4.85,4.85,-8.14%
1992-07-01,5.28,5.28,5.28,5.28,-6.05%
1992-06-01,5.62,5.62,5.62,5.62,-8.62%
1992-05-01,6.15,6.15,6.15,6.15,-8.62%
1992-04-01,6.73,6.73,6.73,6.73,-7.17%
1992-03-01,7.25,7.25,7.25,7.25,-0.55%
1992-02-01,7.29,7.29,7.29,7.29,1.11%
1992-01-01,7.21,7.21,7.21,7.21,-1.90%
1991-12-01,7.35,7.35,7.35,7.35,-2.13%
1991-11-01,7.51,7.51,7.51,7.51,-4.57%
1991-10-01,7.87,7.87,7.87,7.87,-6.09%
1991-09-01,8.38,8.38,8.38,8.38,-2.56%
1991-08-01,8.6,8.6,8.6,8.6,-1.49%
1991-07-01,8.73,8.73,8.73,8.73,-0.11%
1991-06-01,8.74,8.74,8.74,8.74,-1.80%
1991-05-01,8.9,8.9,8.9,8.9,-4.30%
1991-04-01,9.3,9.3,9.3,9.3,-4.62%
1991-03-01,9.75,9.75,9.75,9.75,-1.32%
1991-02-01,9.88,9.88,9.88,9.88,-7.66%
1991-01-01,10.7,10.7,10.7,10.7,-7.84%
1990-12-01,11.61,11.61,11.61,11.61,-4.68%
1990-11-01,12.18,12.18,12.18,12.18,-2.56%
1990-10-01,12.5,12.5,12.5,12.5,0.24%
1990-09-01,12.47,12.47,12.47,12.47,-2.96%
1990-08-01,12.85,12.85,12.85,12.85,-3.67%
1990-07-01,13.34,13.34,13.34,13.34,-2.63%
1990-06-01,13.7,13.7,13.7,13.7,-1.30%
1990-05-01,13.88,13.88,13.88,13.88,1.91%
1990-04-01,13.62,13.62,13.62,13.62,1.41%
1990-03-01,13.43,13.43,13.43,13.43,0.22%
1990-02-01,13.4,13.4,13.4,13.4,7.20%
1990-01-01,12.5,12.5,12.5,12.5,1.46%
1989-12-01,12.32,12.32,12.32,12.32,0.08%
1989-11-01,12.31,12.31,12.31,12.31,0.08%
1989-10-01,12.3,12.3,12.3,12.3,-0.16%
1989-09-01,12.32,12.32,12.32,12.32,0.33%
1989-08-01,12.28,12.28,12.28,12.28,0.41%
1989-07-01,12.23,12.23,12.23,12.23,-0.24%
1989-06-01,12.26,12.26,12.26,12.26,-1.53%
1989-05-01,12.45,12.45,12.45,12.45,-0.56%
1989-04-01,12.52,12.52,12.52,12.52,1.21%
1989-03-01,12.37,12.37,12.37,12.37,1.56%
1989-02-01,12.18,12.18,12.18,12.18,6.94%
1989-01-01,11.39,11.39,11.39,11.39,3.26%
